OBJECTID,District Name,GlobalID,Shape__Area
1,CAPITOL HILL REDEVELOPMENT DISTRICT,73bf53c0-49f4-4d2a-8720-e9aaf3a432f7,3207949.64672852
2,CENTRAL STATE REDEVELOPMENT DISTRICT,f1efff32-ab92-4312-b70e-45e71812b827,55535620.5167236
3,EAST BANK REDEVELOPMENT DISTRICT,48070944-ab67-4143-a7fc-72fbf590fe30,10348865.8028564
5,PHILLIPS-JACKSON STREET REDEVELOPMENT DISTRICT,13ed3a32-7055-469f-84f1-8a5bbce9c725,15733633.1098633
6,RUTLEDGE HILL REDEVELOPMENT DISTRICT,841ecfcc-4052-4140-8991-8715bb377f71,7050988.71606445
7,SKYLINE REDEVELOPMENT PLAN,8f78af84-5985-46ef-be56-3d3eeff1fdd0,3473911.04003906
8,JEFFERSON STREET REDEVELOPMENT DISTRICT,7e5d3c7e-458a-4541-a422-da42802cc447,2652135.76611328
9,ARTS CENTER REDEVELOPMENT DISTRICT,77f96759-065e-43d8-b271-7a27c50bcf76,6672049.14538574
10,CAPITOL MALL REDEVELOPMENT DISTRICT,f755565e-d400-4ace-959f-a86ca1cb21df,6884720.79980469
11,CAYCE REDEVELOPMENT DISTRICT,99c94837-5c30-4ce3-9eb5-e735a6158573,5213867.76501465
12,BORDEAUX REDEVELOPMENT DISTRICT,fbb1df38-c3ea-41bc-b59c-b8e446208b0d,22514616.8892822
