OBJECTID,ORD_DATE,GIS_DATE,CASE_NO,ORDINANCE,ZONE_DESC,GlobalID
1,2000/09/23 00:00:00+00,2004/07/20 00:00:00+00,2000P-007G-02,BL2000-374,PUD,7c616d9b-1c5a-4ae5-9929-84d82e54f54e
2,1977/05/24 00:00:00+00,2004/07/20 00:00:00+00,61-77-G,O77-495,Comm. PUD,d4f4acd4-71a0-4e6b-b113-2065f1f52444
3,1978/08/04 00:00:00+00,2004/07/20 00:00:00+00,144-77-G,O77-760,Comm. PUD,72ffa9f4-54e5-43e6-855d-2bf77df3bdd6
4,2016/09/30 00:00:00+00,2016/09/30 00:00:00+00,61-77P-002,BL2016-351,Comm. PUD (Amended),47f30826-b617-4431-ab22-9049d6e87234
5,1996/03/26 00:00:00+00,2004/07/20 00:00:00+00,61-77-G,O96-194,Comm. PUD,f9da0565-9b60-4ffe-9d55-6e5cea5d482b
6,,2004/07/20 00:00:00+00,39-74-G,,Comm. PUD,908cd94a-3391-4311-a979-6e2138baf858
7,1988/11/16 00:00:00+00,2004/07/20 00:00:00+00,88P-029G,O88-355,Comm. PUD,ea78691a-d005-4a88-b284-28c093a48936
8,1984/03/22 00:00:00+00,2004/07/20 00:00:00+00,42-84-G,O84-214,Comm. PUD,1d43470d-c359-41bc-9a17-b94ab090e470
9,1996/02/26 00:00:00+00,2004/07/20 00:00:00+00,95P-029U,O95-112,Comm. PUD,7fb1045c-b9d1-462a-b6c6-a1c44bba5c57
10,1984/11/26 00:00:00+00,2004/07/20 00:00:00+00,238-84-G,O84-521,Comm. PUD,72c90b8b-25b8-4069-86e1-e0d944a7754f
11,1999/03/26 00:00:00+00,2004/07/20 00:00:00+00,96P-023G,O99-1522,Res. PUD,94522667-e2c6-46de-950f-fcb83db17a12
12,,2004/07/20 00:00:00+00,318-84-U,O84-603,Res. PUD,1540ba83-a56d-4544-b9f8-c0f831a2b4f0
13,2022/07/22 00:00:00+00,0222/08/04 00:00:00+00,38-79P-005,BL2022-1316,Comm. PUD,60171b4b-d669-4d21-87bc-aeba24cdcf68
14,1986/07/17 00:00:00+00,2004/07/20 00:00:00+00,130-85-P,O86-1214,Comm. PUD,7401a2a3-5426-40e5-be10-56492ed1e7da
15,1979/02/05 00:00:00+00,2004/07/20 00:00:00+00,165-79-G,O79-111,Comm. PUD,917be22e-14a2-42b4-b612-ed5ed8eb9073
16,1984/05/17 00:00:00+00,2004/07/20 00:00:00+00,64-84-G,O84-314,Res. PUD,c26cf80d-9f3b-471c-9fdd-0361a893be53
17,,2004/07/20 00:00:00+00,163-82-G,, ,5d273215-d924-4c32-b7f2-28d17b567c39
18,2020/07/10 00:00:00+00,2020/07/16 00:00:00+00,109-81P-005,BL2020-254, ,31962a0e-11c6-422e-bf7d-96f984bda487
19,,2004/07/20 00:00:00+00,30-86-P,, ,792e685b-893a-4a0e-b80f-e943e8024194
20,1984/11/26 00:00:00+00,2004/07/20 00:00:00+00,205-83-G,O83-103,Comm. PUD,850fee9d-cc67-4eaa-b478-d765687e3cef
21,,2004/07/20 00:00:00+00,209-73-G,,Comm. PUD,187366a8-d0ae-4c76-ad72-fbe790e778a6
22,1984/11/26 00:00:00+00,2004/07/20 00:00:00+00,235-84-G,O84-528,Res. PUD,170fcbbc-fa2b-4343-97af-0025aedb3099
23,1985/10/17 00:00:00+00,2016/10/12 00:00:00+00,67-85-P,O85-912,Res. PUD,74fefbec-5e66-4407-8115-8cb00d1cc390
24,1986/09/19 00:00:00+00,2004/07/20 00:00:00+00,53-86-P,O86-1381,Comm. PUD,e233c8f9-1a85-49d5-9739-f1f24aa9d2fc
