OBJECTID,Zoning,MPC Case Number,Ordinance,Effective Date,District Name,I440 Impact Zone,UDO Subdisrict,GlobalID
1,Urban Design Overlay,2005UD-002U-09,BL2005-649,7/27/2005 5:00:00 AM,Gateway Boulevard,,,8c8e67cc-2c65-41e3-a474-9dee22ce0050
2,Airport Impact, ,O73-650,12/24/1974 6:00:00 AM,, , ,bd53348b-5b69-4b85-afd0-6d4c876e069e
3,Urban Design Overlay,2005UD-005U-10,BL2005-832,11/18/2005 6:00:00 AM,Bedford Avenue,,,aeb68b54-3d52-4c2b-a8b7-e18b9506d8cb
4,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/1999 5:00:00 AM,Warner Parks, , ,24dae6af-cf7c-423f-8c26-fe62a705ad8f
5,Bed and Breakfast,94Z-020U,O94-1025,8/8/1997 5:00:00 AM,, , ,f489651b-90d0-49c3-9ecc-f65795682cec
6,Bed and Breakfast,92Z-064U,O92-496,1/22/1993 6:00:00 AM,, , ,6d017936-b346-4391-910a-1fa1bd7763d7
7,Bed and Breakfast,92Z-056U,O92-495,1/22/1993 6:00:00 AM,, , ,2ec6db44-d7ca-4415-b4b8-4966cca4f558
8,Bed and Breakfast, , ,,, , ,61046b8c-ebb7-43a1-accc-1987a6cd4e99
9,Historic Preservation District,96Z-124U,O96-591,3/27/1997 5:00:00 AM,2nd Avenue, , ,8ea1be24-92ce-41a2-b120-c783e0a70383
10,Historic Preservation District, ,O85-1021,10/25/1985 5:00:00 AM,Woodland-in-Waverly, , ,cdc70c6c-0a40-4c5b-8bb6-9274c9a83024
11,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,C1, ,2ac61e13-c4c0-4f2a-9024-c38f0e92dc28
12,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,K1, ,bb05f786-5df9-4d37-9a68-b0aee7f42f10
13,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,F2, ,326415c6-0a36-4ca7-93d8-9f9add154c0c
14,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,G2, ,d25bab21-c94d-4fbf-ada3-62aa07c52e9e
15,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,B1, ,f3469336-4f37-4069-b7d8-cb97a5c5ff29
16,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,A1, ,ca6975a9-cda1-4881-8613-7f62b594ae45
17,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,E1, ,128c7438-c94a-4d2d-b449-f8569c07b0d7
18,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,C2, ,e7a1eb1a-eff1-4ff1-8cca-8e33c1afcdb3
19,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,D2, ,020a4ca6-107b-41ec-a350-bcb79682f395
20,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,G1, ,4d5d21ff-49f4-4b88-8a1b-bceb6da672b9
21,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,A2, ,3b1acf94-5b52-4e04-8822-2ad2ed110064
22,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,H1, ,6de19bd3-e90d-4cc1-bf04-41cb315a6a0c
23,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,B2, ,1f3f8644-35e7-40a3-9eec-4ee71d921754
24,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,E2, ,35449066-6c0f-4bde-a148-ac4a1d63ca4b
25,Urban Design Overlay,2005UD-001U-10,BL2005-550 ,5/21/2005 5:00:00 AM,Harding / White Bridge,,,6245b455-e40e-4a54-a1ab-c7e814772f75
26,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,Sunnyside,,,aaeeed3d-400d-4050-bdfe-60ed39f3e2ed
27,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,City Cemetery,,,bf291d93-6fec-48e4-9da0-0efd9253dc5f
28,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,Omohundro Water System,,,fd09b1dd-0b09-4b0f-bccb-a02991eab0a2
29,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,Omohundro Water System,,,6d9fd85b-b343-4fe2-958d-9507dc79583f
30,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,City Reservoir,,,14ce203e-7eb4-4aea-9ca7-ca545bc3d00f
31,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,Lindsley Hall,,,1dc09c2c-3207-4b36-aae6-81fe0ae49c5b
32,Urban Design Overlay,2005UD-006U-10,BL2007-29,11/29/2007 6:00:00 AM,31st Avenue and Long Boulevard ,,,68e35a6d-f5d1-4143-9966-faa0ad6c4976
33,Urban Design Overlay,2004UD-002G-14,BL2004-325,9/25/2004 5:00:00 AM,Villages of Riverwood,,,a1088583-d2ef-40e3-a5f1-38c85740361b
34,Urban Design Overlay,2005UD-004U-09,BL2005-686,7/27/2005 5:00:00 AM,Park Place Court,,,1a1d72c4-200c-4b76-9f03-d68d785ca33f
35,Neighborhood Conservation,96Z-091U,O96-590,1/23/1997 6:00:00 AM,South Music Row, , ,321b5dac-c04a-4b49-939f-cc211a32bdf3
36,Neighborhood Conservation,97Z-038U,O97-778,6/16/1997 5:00:00 AM,, , ,ff6a1b7f-8a0f-42f5-8fce-efac32ab89b9
37,Neighborhood Conservation,99Z-058U,O99-1714,7/24/1999 5:00:00 AM,Richland-West End, , ,36231102-01bd-4a50-a4d7-8fcf27d42c4d
38,Neighborhood Conservation,2000Z-080U-10,BL2000-316,8/21/2000 5:00:00 AM,Cherokee Park , , ,af370e1b-15d3-4254-8962-043507763e6f
39,Neighborhood Conservation,92Z-025U,O92-357,9/17/1992 5:00:00 AM,Blakemore, , ,742ba82e-3276-444e-b0ee-39e0f8400516
40,Neighborhood Conservation,99Z-026U,O99-1610,5/26/1999 5:00:00 AM,Woodlawn-West, , ,e9e52240-c392-45be-9e0e-9a4042b7208e
41,Neighborhood Conservation,2003Z-065U-07,BL2003-1418,7/19/2003 5:00:00 AM,Belle Meade Links Triangle, , ,67adba8b-c163-4364-93c1-b06debb1d45f
42,Neighborhood Landmark,2001Z-073U-05,BL2001-789,3/24/2001 5:00:00 AM,, , ,73a24ae9-c4e3-48b7-91ca-47594c36a586
43,Neighborhood Landmark,2001Z-022U-14,BL2001-622,3/24/2001 5:00:00 AM,, , ,c7ca1dd5-8eb5-4506-b3f5-13b7f96a3cd4
44,Neighborhood Landmark,2001Z-011U-10,BL2001-672,5/23/2001 5:00:00 AM,, , ,994f0152-6732-4844-be01-8151ca67a781
45,Neighborhood Landmark,2000Z-131U-13,BL2000-529,1/27/2001 6:00:00 AM,, , ,f97a8d8f-4961-4290-b8d0-db03f953a176
46,Urban Design Overlay,2001UD-002-012,BL2023-1822,5/26/2023 5:00:00 AM,Music Row,,,4b10157c-351e-40aa-8ba6-0550d1f21382
47,Urban Design Overlay,2005UD-003G-12,BL2006-1295,1/19/2007 6:00:00 AM,Carothers Crossing,,,842f9fdc-70f0-445e-9cba-01213ce15e99
48,Urban Design Overlay,2002UD-001U-10,BL2008-362,1/26/2009 6:00:00 AM,Green Hills,,,fb004e85-a21f-468b-892c-c8d4a6872fb2
49,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,1C,c177a312-fd2b-4e5b-b127-9169883146fb
50,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,3B,1995b08e-736d-4512-9b1f-62855b432613
51,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,1A,8f37901e-947c-4bfe-8f5d-d86b7998683d
52,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,3A,c09055b6-9631-4fe7-b230-04f4813e3903
53,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,1B,0db82375-0502-4a56-89ae-311ecfb07559
54,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,2B,581b7293-2151-4783-ab78-cb1c92d373a1
55,Urban Design Overlay,2005UD-009-012,BL2021-828,8/27/2021 5:00:00 AM,Hillsboro Village,,2A,d343d40b-2b33-4bc0-9d5d-1be24af037d2
56,Urban Design Overlay,2005UD-008U-13,BL2005-825,11/18/2005 6:00:00 AM,Hamilton Hills,,,39aa6a30-d658-4b7c-8b3c-cc77490fcaf0
57,Institutional Overlay,2006IN-001-013,BL2023-1965,7/28/2023 5:00:00 AM,DAVID LIPSCOMB UNIVERSITY,,,a0f0877f-0c8a-4039-b879-1a345e6b32bf
58,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,D1, ,e191cd5b-072b-487f-b0f6-47568c142cc8
59,I-440 Impact,268-84-G,O84-532,12/19/1984 6:00:00 AM,,D1, ,18d7fc6d-21c1-4371-ab07-943fc7e11cf8
60,Historic Preservation Landmark,2004Z-108U,BL2004-406,11/19/2004 6:00:00 AM,Public Works Garages,,,ae1175ed-5afe-4d12-9e76-b8346bae61ae
61,Bed and Breakfast,92Z-061G,O92-486,1/22/1993 6:00:00 AM,, , ,6af77b87-3863-4c28-9ec8-c4a1cfaff7fe
62,Historic Preservation District,90Z-097U,O90-1399,11/21/1990 6:00:00 AM,Edgefield, , ,20d95727-d63a-4b75-bab3-eb6cc6410e47
63,Institutional Overlay,2000Z-044G-01,BL2000-304,7/27/2000 5:00:00 AM,, , ,74c837dd-f771-4bcc-81e1-9f802a99d977
64,Historic Preservation Landmark,90Z-017G,O90-1109,3/22/1990 5:00:00 AM,Idlewild, , ,a58d99c2-7e3e-4047-adf6-301a5b26ca07
65,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/1999 5:00:00 AM,East Branch Library, , ,34499e6a-2cb9-4c65-8ef3-ed1554ee834b
66,Historic Preservation Landmark,2004Z108U,BL2004-406,11/19/2004 6:00:00 AM,Shelby Street Bridge,,,e68d3aad-934a-4b31-ad80-c46e16f711d2
67,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/1999 5:00:00 AM,Holly Street Fire Hall, , ,e0681c85-6524-4fdf-96d1-4fa5bcd505d2
68,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/2009 5:00:00 AM,Carnegie North Branch Library, , ,7b170c87-9048-4cf4-8403-747e4f8f8a6c
69,Historic Preservation Landmark,99Z-088U,O99-1698,7/24/1999 5:00:00 AM,Davidson County Courthouse, , ,2e2c7b9b-fb21-4d0e-908e-8a7cb7c9b926
