CommunityName,NTI,NTI_rank,Zoning_norm,Price_norm,Dev_norm,DominantDriver,Summary
Antioch - Priest Lake,0.27942195746497756,11,0.2584825979321392,0.2551825132938818,0.3468601545570531,Dev_norm,"Zoning: 0.26, Price: 0.26, Dev: 0.35, Driver: Dev_norm"
Bellevue,0.23909137611850131,13,0.21093756061981578,0.3196026215195364,0.171421737354949,Price_norm,"Zoning: 0.21, Price: 0.32, Dev: 0.17, Driver: Price_norm"
Bordeaux - Whites Creek - Haynes Trinity,0.2632133263465353,12,0.397671083220719,0.08274596182085169,0.30073522568379846,Zoning_norm,"Zoning: 0.4, Price: 0.08, Dev: 0.3, Driver: Zoning_norm"
Donelson - Hermitage - Old Hickory,0.3124036672591357,8,0.31232676556861266,0.18878263672504567,0.4855961527116986,Dev_norm,"Zoning: 0.31, Price: 0.19, Dev: 0.49, Driver: Dev_norm"
Downtown,0.6893070655104907,1,1.0,0.4532058875441939,0.5227400194800909,Zoning_norm,"Zoning: 1.0, Price: 0.45, Dev: 0.52, Driver: Zoning_norm"
East Nashville,0.5328643074283985,3,0.6744316917171665,0.27743007803019715,0.6639644137238518,Zoning_norm,"Zoning: 0.67, Price: 0.28, Dev: 0.66, Driver: Zoning_norm"
Green Hills - Midtown,0.6661967341357159,2,0.548812931766113,0.5619187469407734,1.0,Dev_norm,"Zoning: 0.55, Price: 0.56, Dev: 1.0, Driver: Dev_norm"
Joelton,0.04046047003977589,14,0.0,0.11560134297078827,0.0,Price_norm,"Zoning: 0.0, Price: 0.12, Dev: 0.0, Driver: Price_norm"
Madison,0.27988708780433313,10,0.27163843593863873,0.34173568281938327,0.206496897768374,Price_norm,"Zoning: 0.27, Price: 0.34, Dev: 0.21, Driver: Price_norm"
North Nashville,0.42453152024238877,6,0.6111421229173896,0.3119444708896255,0.283576425056256,Zoning_norm,"Zoning: 0.61, Price: 0.31, Dev: 0.28, Driver: Zoning_norm"
Parkwood - Union Hill,0.4844779621349664,5,0.2373860936779775,1.0,0.1580940986551016,Price_norm,"Zoning: 0.24, Price: 1.0, Dev: 0.16, Driver: Price_norm"
South Nashville,0.29165345199101267,9,0.5360794624598305,0.0,0.3088866680283217,Zoning_norm,"Zoning: 0.54, Price: 0.0, Dev: 0.31, Driver: Zoning_norm"
Southeast,0.33589853907650946,7,0.268961351157893,0.2708936700285393,0.534004856413454,Dev_norm,"Zoning: 0.27, Price: 0.27, Dev: 0.53, Driver: Dev_norm"
West Nashville,0.48628997518586864,4,0.5813004813575915,0.3931718061674009,0.46463860193696704,Zoning_norm,"Zoning: 0.58, Price: 0.39, Dev: 0.46, Driver: Zoning_norm"
