CommunityName,SaleYear,MedianSalePrice
Antioch - Priest Lake,1974.0,35000.0
Antioch - Priest Lake,1975.0,29250.0
Antioch - Priest Lake,1976.0,34844.0
Antioch - Priest Lake,1977.0,38000.0
Antioch - Priest Lake,1978.0,40496.0
Antioch - Priest Lake,1979.0,50732.5
Antioch - Priest Lake,1980.0,49000.0
Antioch - Priest Lake,1981.0,46811.0
Antioch - Priest Lake,1982.0,52200.0
Antioch - Priest Lake,1983.0,55000.0
Antioch - Priest Lake,1984.0,63005.0
Antioch - Priest Lake,1985.0,69900.0
Antioch - Priest Lake,1986.0,68500.0
Antioch - Priest Lake,1987.0,57000.0
Antioch - Priest Lake,1988.0,62500.0
Antioch - Priest Lake,1989.0,58000.0
Antioch - Priest Lake,1990.0,65000.0
Antioch - Priest Lake,1991.0,73000.0
Antioch - Priest Lake,1992.0,80705.5
Antioch - Priest Lake,1993.0,78550.0
Antioch - Priest Lake,1994.0,86891.0
Antioch - Priest Lake,1995.0,86500.0
Antioch - Priest Lake,1996.0,114900.0
Antioch - Priest Lake,1997.0,107788.0
Antioch - Priest Lake,1998.0,116900.0
Antioch - Priest Lake,1999.0,113500.0
Antioch - Priest Lake,2000.0,118000.0
Antioch - Priest Lake,2001.0,124740.0
Antioch - Priest Lake,2002.0,127255.5
Antioch - Priest Lake,2003.0,126000.0
Antioch - Priest Lake,2004.0,130000.0
Antioch - Priest Lake,2005.0,136900.0
Antioch - Priest Lake,2006.0,135000.0
Antioch - Priest Lake,2007.0,146573.0
Antioch - Priest Lake,2008.0,133000.0
Antioch - Priest Lake,2009.0,120000.0
Antioch - Priest Lake,2010.0,119700.0
Antioch - Priest Lake,2011.0,117000.0
Antioch - Priest Lake,2012.0,114000.0
Antioch - Priest Lake,2013.0,120107.0
Antioch - Priest Lake,2014.0,125000.0
Antioch - Priest Lake,2015.0,148250.0
Antioch - Priest Lake,2016.0,165000.0
Antioch - Priest Lake,2017.0,192750.0
Antioch - Priest Lake,2018.0,215000.0
Antioch - Priest Lake,2019.0,244155.0
Antioch - Priest Lake,2020.0,240000.0
Antioch - Priest Lake,2021.0,300000.0
Antioch - Priest Lake,2022.0,345351.5
Antioch - Priest Lake,2023.0,349900.0
Antioch - Priest Lake,2024.0,360500.0
Antioch - Priest Lake,2025.0,367000.0
Antioch - Priest Lake,2026.0,347000.0
Bellevue,1948.0,3000.0
Bellevue,1973.0,500000.0
Bellevue,1974.0,24500.0
Bellevue,1975.0,10370.0
Bellevue,1976.0,20500.0
Bellevue,1977.0,43500.0
Bellevue,1978.0,43825.0
Bellevue,1979.0,48000.0
Bellevue,1980.0,57975.0
Bellevue,1981.0,54601.0
